geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
5397777,South San Jose Hills,34.01279,-117.90478,CA,037,20551,America/Los_Angeles,5397777,medium
5397841,South Whittier,33.95015,-118.03917,CA,037,57156,America/Los_Angeles,5397841,large
5397851,South Yuba City,39.11656,-121.63913,CA,101,15217,America/Los_Angeles,5397851,medium
5398277,Spring Valley,32.74477,-116.99892,CA,073,28205,America/Los_Angeles,5398277,large
5398563,Stanford,37.42411,-122.16608,CA,085,13809,America/Los_Angeles,5398563,medium
5398630,Stanton,33.80252,-117.99312,CA,059,38872,America/Los_Angeles,5398630,large
5399020,Stockton,37.9577,-121.29078,CA,077,305658,America/Los_Angeles,5399020,major
5399319,Strawberry,37.89687,-122.50886,CA,041,5393,America/Los_Angeles,5399319,medium
5399438,Studio City,34.14862,-118.39647,CA,037,34034,America/Los_Angeles,5399438,large
5399629,Suisun,38.23825,-122.04024,CA,095,28111,America/Los_Angeles,5399629,large
5399901,Sun City,33.70919,-117.19726,CA,065,19579,America/Los_Angeles,5399901,medium
5399976,Sunland,34.26695,-118.3023,CA,037,15316,America/Los_Angeles,5399976,medium
5400065,Sunnyslope,34.01196,-117.43338,CA,065,5153,America/Los_Angeles,5400065,medium
5400075,Sunnyvale,37.36883,-122.03635,CA,085,155805,America/Los_Angeles,5400075,major
5400784,Sylmar,34.30778,-118.44925,CA,037,79614,America/Los_Angeles,5400784,large
5400877,Taft,35.14247,-119.45651,CA,029,9495,America/Los_Angeles,5400877,medium
5401017,Tamalpais Valley,37.87965,-122.54581,CA,041,7000,America/Los_Angeles,5401017,medium
5401121,Tara Hills,37.99353,-122.31636,CA,013,5126,America/Los_Angeles,5401121,medium
5401297,Tehachapi,35.13219,-118.44897,CA,029,13021,America/Los_Angeles,5401297,medium
5401395,Temecula,33.49364,-117.14836,CA,065,110003,America/Los_Angeles,5401395,major
5401469,Temple City,34.10723,-118.05785,CA,037,36365,America/Los_Angeles,5401469,large
5401516,Templeton,35.54969,-120.706,CA,079,7674,America/Los_Angeles,5401516,medium
5402159,Thermalito,39.51128,-121.58692,CA,007,6646,America/Los_Angeles,5402159,medium
5402405,Thousand Oaks,34.17056,-118.83759,CA,111,129339,America/Los_Angeles,5402405,major
5402415,Thousand Palms,33.82002,-116.39029,CA,065,7715,America/Los_Angeles,5402415,medium
5402535,Tiburon,37.87354,-122.45664,CA,041,9214,America/Los_Angeles,5402535,medium
5402570,Tierra Buena,39.14878,-121.66691,CA,101,5797,America/Los_Angeles,5402570,medium
5402961,Topanga,34.09362,-118.60147,CA,037,8289,America/Los_Angeles,5402961,medium
5403022,Torrance,33.83585,-118.34063,CA,037,143592,America/Los_Angeles,5403022,major
5403191,Tracy,37.73987,-121.42618,CA,077,87075,America/Los_Angeles,5403191,large
5403676,Truckee,39.32796,-120.18325,CA,057,16299,America/Los_Angeles,5403676,medium
5403767,Tujunga,34.25223,-118.28841,CA,037,26527,America/Los_Angeles,5403767,large
5403783,Tulare,36.20773,-119.34734,CA,107,62315,America/Los_Angeles,5403783,large
5404024,Turlock,37.49466,-120.84659,CA,099,72292,America/Los_Angeles,5404024,large
5404119,Tustin,33.74585,-117.82617,CA,059,80583,America/Los_Angeles,5404119,large
5404122,North Tustin,33.76446,-117.79394,CA,059,24917,America/Los_Angeles,5404122,medium
5404198,Twentynine Palms,34.13556,-116.05417,CA,071,26025,America/Los_Angeles,5404198,large
5404476,Ukiah,39.15017,-123.20778,CA,045,15917,America/Los_Angeles,5404476,medium
5404555,Union City,37.59577,-122.01913,CA,001,74494,America/Los_Angeles,5404555,large
5404794,Universal City,34.1389,-118.35341,CA,037,105000,America/Los_Angeles,5404794,major
5404915,Upland,34.09751,-117.64839,CA,071,76443,America/Los_Angeles,5404915,large
5405228,Vacaville,38.35658,-121.98774,CA,095,96803,America/Los_Angeles,5405228,large
5405288,Valencia,34.44361,-118.60953,CA,037,148456,America/Los_Angeles,5405288,major
5405326,Valinda,34.04529,-117.94367,CA,037,22822,America/Los_Angeles,5405326,medium
5405346,Valle Vista,33.7478,-116.89336,CA,065,14578,America/Los_Angeles,5405346,medium
5405380,Vallejo,38.10409,-122.25664,CA,095,121692,America/Los_Angeles,5405380,major
5405430,Valley Center,33.21837,-117.0342,CA,073,9277,America/Los_Angeles,5405430,medium
5405693,Van Nuys,34.18667,-118.44897,CA,037,136443,America/Los_Angeles,5405693,major
5405737,Vandenberg Village,34.70832,-120.46766,CA,083,6497,America/Los_Angeles,5405737,medium
5405841,Venice,33.99084,-118.46008,CA,037,40885,America/Los_Angeles,5405841,large
5405878,Ventura,34.27834,-119.29317,CA,111,96769,America/Los_Angeles,5405878,large
5406222,Victorville,34.53611,-117.29116,CA,071,122225,America/Los_Angeles,5406222,major
5406337,Villa Park,33.81446,-117.81311,CA,059,5964,America/Los_Angeles,5406337,medium
5406421,Vincent,34.50055,-118.11646,CA,037,15922,America/Los_Angeles,5406421,medium
5406567,Visalia,36.33023,-119.29206,CA,107,130104,America/Los_Angeles,5406567,major
5406602,Vista,33.20004,-117.24254,CA,073,100890,America/Los_Angeles,5406602,major
5406879,Waldon,37.92631,-122.05552,CA,013,5364,America/Los_Angeles,5406879,medium
5406976,Walnut,34.02029,-117.86534,CA,037,30237,America/Los_Angeles,5406976,large
5406990,Walnut Creek,37.90631,-122.06496,CA,013,68910,America/Los_Angeles,5406990,large
5407030,Walnut Park,33.96807,-118.22507,CA,037,15966,America/Los_Angeles,5407030,medium
5407463,Waterford,37.64132,-120.76048,CA,099,8824,America/Los_Angeles,5407463,medium
5407529,Watsonville,36.91023,-121.75689,CA,087,53628,America/Los_Angeles,5407529,large
5407841,West Athens,33.92335,-118.30341,CA,037,8729,America/Los_Angeles,5407841,medium
5407908,West Carson,33.82168,-118.29257,CA,037,21699,America/Los_Angeles,5407908,medium
5407927,West Rancho Dominguez,33.8939,-118.27063,CA,037,5669,America/Los_Angeles,5407927,medium
5407933,West Covina,34.06862,-117.93895,CA,037,108484,America/Los_Angeles,5407933,major
5408076,West Hollywood,34.09001,-118.36174,CA,037,36222,America/Los_Angeles,5408076,large
5408191,West Puente Valley,34.05168,-117.9684,CA,037,22636,America/Los_Angeles,5408191,medium
5408211,West Sacramento,38.58046,-121.53023,CA,113,52721,America/Los_Angeles,5408211,large
