FAC,LOC,GPE,time,Latitude,Longitude,state_code,state_name,county_name,county_fips,city_name,city_id,population
,,Florida,2024-09-26 03:30:11+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, Kansas",2024-09-26 03:28:06+00:00,27.92549825,-82.48779665,FL,Florida,Hillsborough,12057,Tampa,4174757,414547
,,"Atlanta, NC, Tennessee",2024-09-26 03:27:08+00:00,33.7341045,-84.3951675,GA,Georgia,Fulton,13121,Atlanta,4180439,510823
,,Florida,2024-09-26 03:26:22+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,FL,2024-09-26 03:25:52+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:58:33+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, Georgia",2024-09-26 04:57:36+00:00,31.5876806291597,-82.57399616919007,GA,Georgia,Bacon,13005,Nicholls,4212770,3331
,,Alabama,2024-09-26 04:56:25+00:00,33.2588817,-86.8295337,AL,Alabama,Shelby,01117,Alabaster,4829762,32707
,,Georgia,2024-09-26 04:56:14+00:00,32.3293809,-83.1137366,GA,Georgia,Dodge,13091,Chester,4187637,1568
,,Florida,2024-09-26 04:54:03+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:53:00+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:49:17+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Carrabelle, FLORIDA",2024-09-26 04:48:52+00:00,29.8532645,-84.664348,FL,Florida,Franklin,12037,Carrabelle,4150103,2729
,,Florida,2024-09-26 04:48:03+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, Fort Myers",2024-09-26 04:47:38+00:00,26.640628,-81.8723084,FL,Florida,Lee,12071,North Fort Myers,4166195,39407
,,Florida,2024-09-26 04:45:00+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:40:58+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:40:04+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Tallahassee,2024-09-26 04:37:11+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,Florida,2024-09-26 04:36:06+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:34:12+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Tallahassee,2024-09-26 04:31:05+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,"Crystal River, FL, fl",2024-09-26 04:31:04+00:00,28.902479,-82.5926012,FL,Florida,Citrus,12017,Crystal River,4152487,3089
,,"Florida, Manatee County, Sarasota",2024-09-26 04:30:08+00:00,27.3703215,-82.5182288299657,FL,Florida,Sarasota,12115,North Sarasota,4166298,6982
,,"Memphis, Tennessee",2024-09-26 04:30:07+00:00,35.1460249,-90.0517638,TN,Tennessee,Shelby,47157,Memphis,4641239,633104
,,Brevard,2024-09-26 04:30:06+00:00,28.2100203,-80.7997185,FL,Florida,Brevard,12009,Viera West,7315242,6641
,,Florida,2024-09-26 04:30:01+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, San Antonio",2024-09-26 04:30:01+00:00,28.3361142,-82.2745308,FL,Florida,Pasco,12101,San Antonio,4171771,1308
,,"Florida, San Antonio",2024-09-26 04:30:01+00:00,28.3361142,-82.2745308,FL,Florida,Pasco,12101,San Antonio,4171771,1308
,,Florida,2024-09-26 04:29:15+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:25:06+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:24:10+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:23:49+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
Universal Volcano Bay,,Florida,2024-09-26 04:23:27+00:00,28.46139995,-81.47308952832861,FL,Florida,Orange,12095,Doctor Phillips,4153367,10981
,,Florida,2024-09-26 04:23:05+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,FL,2024-09-26 04:22:16+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:21:03+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:19:33+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Orlando,2024-09-26 04:18:34+00:00,28.5421109,-81.3790304,FL,Florida,Orange,12095,Orlando,4167147,334854
,,Florida,2024-09-26 04:15:00+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 04:12:11+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Raleigh,2024-09-26 05:57:03+00:00,35.7803977,-78.6390989,NC,North Carolina,Wake,37183,Raleigh,4487042,482295
,,"Florida, Plant City",2024-09-26 05:56:50+00:00,28.01633,-82.1234803,FL,Florida,Hillsborough,12057,Plant City,4168773,37406
,,ATL,2024-09-26 05:50:42+00:00,33.63740085,-84.42981606522355,GA,Georgia,Clayton,13063,College Park,4188815,14601
,,"Florida, Tampa",2024-09-26 05:50:36+00:00,27.9477595,-82.458444,FL,Florida,Hillsborough,12057,Tampa,4174757,414547
,,"Boca Chica, FL, fl",2024-09-26 05:49:17+00:00,28.411749,-81.58593162083542,FL,Florida,Orange,12095,Horizon West,7315230,14000
,,"Boca Chica, FL, fl",2024-09-26 05:49:17+00:00,28.411749,-81.58593162083542,FL,Florida,Orange,12095,Horizon West,7315230,14000
,,Florida,2024-09-26 05:47:49+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 05:45:18+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 05:44:14+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 05:43:34+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Atlanta, Georgia",2024-09-26 05:43:26+00:00,33.7489924,-84.3902644,GA,Georgia,Fulton,13121,Atlanta,4180439,510823
,,Florida,2024-09-26 05:40:09+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 05:39:06+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
